LICENSE TYPE,Document Count
licenses/by-nd/3.0/no,0
licenses/by-nd/3.0/nz,0
licenses/by-nd/3.0/ph,0
licenses/by-nd/3.0/pl,0
licenses/by-nd/3.0/pr,0
licenses/by-nd/3.0/pt,0
licenses/by-nd/3.0/ro,0
licenses/by-nd/3.0/rs,0
licenses/by-nd/3.0/sg,0
licenses/by-nd/3.0/th,0
licenses/by-nd/3.0/tw,0
licenses/by-nd/3.0/ug,0
licenses/by-nd/3.0/us,0
licenses/by-nd/3.0/ve,0
licenses/by-nd/3.0/vn,0
licenses/by-nd/3.0/za,0
licenses/by-sa/3.0,2929
licenses/by-sa/3.0/am,0
licenses/by-sa/3.0/at,0
licenses/by-sa/3.0/au,0
licenses/by-sa/3.0/az,0
licenses/by-sa/3.0/br,0
licenses/by-sa/3.0/ca,0
licenses/by-sa/3.0/ch,0
licenses/by-sa/3.0/cl,0
licenses/by-sa/3.0/cn,0
licenses/by-sa/3.0/cr,0
licenses/by-sa/3.0/cz,0
licenses/by-sa/3.0/de,0
licenses/by-sa/3.0/ec,0
licenses/by-sa/3.0/ee,0
licenses/by-sa/3.0/eg,0
licenses/by-sa/3.0/es,1
licenses/by-sa/3.0/fr,1
licenses/by-sa/3.0/ge,0
licenses/by-sa/3.0/gr,0
licenses/by-sa/3.0/gt,0
licenses/by-sa/3.0/hk,0
licenses/by-sa/3.0/hr,0
licenses/by-sa/3.0/ie,0
licenses/by-sa/3.0/igo,0
licenses/by-sa/3.0/it,0
licenses/by-sa/3.0/lu,0
licenses/by-sa/3.0/nl,0
licenses/by-sa/3.0/no,0
licenses/by-sa/3.0/nz,0
licenses/by-sa/3.0/ph,0
licenses/by-sa/3.0/pl,0
licenses/by-sa/3.0/pr,0
licenses/by-sa/3.0/pt,0
licenses/by-sa/3.0/ro,0
licenses/by-sa/3.0/rs,0
licenses/by-sa/3.0/sg,0
licenses/by-sa/3.0/th,0
licenses/by-sa/3.0/tw,0
licenses/by-sa/3.0/ug,0
licenses/by-sa/3.0/us,1
licenses/by-sa/3.0/ve,0
licenses/by-sa/3.0/vn,0
licenses/by-sa/3.0/za,0
licenses/by/4.0,15
licenses/by-nc/4.0,79
licenses/by-nc-nd/4.0,482
licenses/by-nc-sa/4.0,5237
licenses/by-nd/4.0,0
licenses/by-sa/4.0,21
publicdomain/mark/1.0,0
publicdomain/zero/1.0,88174
